group,key,ko,en,status,notes
seo,seo.job.intro.description,"핵심 직무를 제품, 공정, AI 플랫폼 관점으로 소개합니다.","Explore key roles across product strategy, process innovation, and AI platform planning.",ok,
seo,seo.job.interview.title,직무 인터뷰 | Talent Hub,Role Interviews | Talent Hub,ok,
seo,seo.job.interview.description,실제 구성원의 경험을 통해 일하는 방식과 성장 포인트를 살펴봅니다.,"Learn how people work, collaborate, and grow through team interviews.",ok,
seo,seo.culture.working.title,일하는 문화 | Talent Hub,Ways of Working | Talent Hub,ok,
seo,seo.culture.working.description,"Bar Raising, Data Driven, One Team 중심의 일하는 문화를 소개합니다.","Discover how Bar Raising, Data Driven, and One Team shape daily work.",ok,
seo,seo.culture.benefits.title,복지 제도 | Talent Hub,Benefits | Talent Hub,ok,
seo,seo.culture.benefits.description,"성장, 회복, 유연성, 생활 지원을 아우르는 복지 구조를 보여줍니다.","See how growth, wellbeing, flexibility, and support are structured.",ok,
seo,seo.apply.process.title,채용 절차 | Talent Hub,Hiring Process | Talent Hub,ok,
seo,seo.apply.process.description,서류전형부터 최종 합격 및 입사까지의 흐름을 단계형 UI로 안내합니다.,Follow the journey from application review to final offer and onboarding.,ok,
seo,seo.apply.faq.title,FAQ | Talent Hub,FAQ | Talent Hub,ok,
seo,seo.apply.faq.description,지원자가 자주 묻는 질문을 카테고리별로 정리한 페이지입니다.,"Frequently asked questions for applicants, organized by category.",ok,
seo,seo.apply.sections.hy-way.title,월간 hy-way | Talent Hub,Monthly hy-way | Talent Hub,ok,
seo,seo.apply.sections.hy-way.description,매월 이어지는 성장 콘텐츠 흐름을 소개하는 샘플 프로그램 페이지입니다.,A sample program page that shows a monthly flow of growth content.,ok,
seo,seo.apply.sections.openings.title,채용 공고 | Talent Hub,Open Roles | Talent Hub,ok,
seo,seo.apply.sections.openings.description,직무별 포지션과 기대 역량을 카드 구조로 안내합니다.,"Role cards that summarize openings, locations, and expectations.",ok,
home,home.hero.eyebrow,SK hynix 스타일 채용 브랜딩,Recruiting brand experience inspired by SK hynix Talent Hub,ok,
home,home.hero.titleHtml,반도체와 디지털 혁신이 만나는 <br/><strong>당신의 다음 커리어</strong>,Where semiconductor innovation meets <br/><strong>your next career chapter</strong>,ok,
home,home.hero.subtitle,가능성을 설계하는 사람을 위한 글로벌 채용 허브,A global recruiting hub for people who design what comes next,ok,
home,home.hero.description,"직무 탐색부터 문화 이해, 채용 여정 파악까지 한 번에 이어지는 서버사이드 브랜드 경험을 제공합니다.","From role discovery to culture and hiring-process clarity, the site is designed as a seamless server-rendered brand journey.",ok,
home,home.hero.primaryCta,직무 소개 보기,Explore roles,ok,
home,home.hero.secondaryCta,채용 절차 확인,View hiring process,ok,
home,home.hero.panelTitle,오늘의 탐색 포인트,What to explore today,ok,
home,home.hero.panelCopy,인재가 가장 궁금해하는 정보부터 바로 확인할 수 있도록 구성했습니다.,The structure highlights the information candidates care about most first.,ok,
home,home.hero.panelItem1,직무 소개와 인터뷰를 통해 성장 경로 이해,Understand growth paths through role pages and interviews,ok,
home,home.hero.panelItem2,문화 키워드와 복지 구조를 함께 탐색,See culture keywords together with benefits and support,ok,
home,home.hero.panelItem3,ko/en 전환으로 동일한 정보 구조 경험,Switch between ko/en while keeping the same information architecture,ok,
home,home.stats.culture.label,문화 키워드,Culture themes,ok,
home,home.stats.culture.value,3+,3+,ok,
home,home.stats.culture.description,"Bar Raising, Data Driven, One Team","Bar Raising, Data Driven, One Team",ok,
home,home.stats.roles.label,핵심 직무,Featured roles,ok,
home,home.stats.roles.value,3,3,ok,
home,home.stats.roles.description,"전략, 공정, AI 플랫폼 관점의 대표 역할","Representative paths across strategy, process, and AI platform work",ok,
home,home.stats.global.label,언어 지원,Language support,ok,
home,home.stats.global.value,KO / EN,KO / EN,ok,
home,home.stats.global.description,경로 기반 언어 전환과 hreflang 대응,Path-based locale switching with hreflang support,ok,
home,home.sections.heading.eyebrow,Explore,Explore,ok,
home,home.sections.heading.title,핵심 메뉴 한눈에 보기,See the core menu at a glance,ok,
home,home.sections.heading.lead,"Company, Job, Culture, Apply 흐름을 자연스럽게 이어지는 카드 구조로 구성했습니다.","Company, Job, Culture, and Apply are connected through a clear card-based information flow.",ok,
home,home.sections.company.eyebrow,Company,Company,ok,
home,home.sections.company.title,브랜드 스토리와 뉴스,Brand stories and newsroom updates,ok,
home,home.sections.company.description,"뉴스룸, 스토리, 캠퍼스 소식을 통해 회사의 방향성과 현장을 확인하세요.","Browse newsroom, story, and campus content to understand direction and working context.",ok,
home,home.sections.job.eyebrow,Job,Job,ok,
home,home.sections.job.title,직무 탐색과 현업 인터뷰,Role discovery and team interviews,ok,
home,home.sections.job.description,핵심 역할을 이해하고 실제 구성원의 업무 방식까지 이어서 살펴볼 수 있습니다.,Move from role summaries to first-hand working stories without breaking the journey.,ok,
home,home.sections.culture.eyebrow,Culture,Culture,ok,
home,home.sections.culture.title,일하는 문화와 복지,Ways of working and benefits,ok,
home,home.sections.culture.description,가치 키워드와 제도 구조를 함께 보여주어 몰입 경험을 설계했습니다.,Culture keywords and supporting programs are shown as one coherent experience.,ok,
home,home.sections.apply.eyebrow,Apply,Apply,ok,
home,home.sections.apply.title,지원 여정 파악,Understand the application journey,ok,
home,home.sections.apply.description,"월간 hy-way, 채용 공고, 절차, FAQ까지 지원 전 필요한 정보를 모았습니다.","Monthly hy-way, openings, process, and FAQ are organized in one flow.",ok,
home,home.roles.heading,주목할 직무,Featured roles,ok,
home,home.roles.lead,"제품, 공정, AI 플랫폼을 잇는 핵심 역할을 소개합니다.","Explore representative roles that connect product strategy, process, and AI platform work.",ok,
home,home.interviews.heading,현업 인터뷰,Team interviews,ok,
home,home.interviews.lead,실제 구성원이 전하는 업무 방식과 성장 이야기를 만나보세요.,"Hear how people solve problems, collaborate, and keep growing.",ok,
home,home.culture.heading,일하는 문화,Ways of working,ok,
home,home.culture.lead,가치 키워드와 실행 방식을 함께 보여주는 문화 섹션입니다.,Culture keywords are paired with specific working practices.,ok,
home,home.process.heading,채용 절차 미리보기,Preview the hiring process,ok,
home,home.process.lead,지원부터 입사까지의 단계를 한 눈에 이해할 수 있습니다.,Understand the steps from application to onboarding at a glance.,ok,
home,home.cta.title,준비가 되었다면 지원 흐름까지 이어서 확인해 보세요.,Ready to continue the journey?,ok,
home,home.cta.description,"월간 hy-way, 채용 공고, FAQ까지 연결된 구조로 설계했습니다.","After exploring the brand and roles, move naturally into the process and FAQ pages.",ok,
home,home.cta.primary,채용 절차 보기,View hiring process,ok,
home,home.cta.secondary,FAQ 보기,Open FAQ,ok,
job,job.intro.eyebrow,Job,Job,ok,
job,job.intro.title,직무 소개,Role overview,ok,
job,job.intro.lead,"반도체와 디지털 조직에서 필요한 역할을 제품 관점, 협업 관점, 성장 관점으로 정리했습니다.","The roles are described through product context, collaboration style, and growth opportunities.",ok,
job,job.intro.detail.overview,직무 개요,Role overview,ok,
job,job.intro.detail.skills,핵심 역량,Core strengths,ok,
job,job.intro.detail.responsibilities,주요 역할,Key responsibilities,ok,
job,job.intro.detail.collaboration,협업 방식,How you collaborate,ok,
job,job.intro.detail.growth,성장 포인트,Growth opportunities,ok,
job,job.roles.memory-architecture.family,Memory Architecture,Memory Architecture,ok,
job,job.roles.memory-architecture.title,메모리 아키텍처 기획,Memory Architecture Planning,ok,
job,job.roles.memory-architecture.summary,차세대 메모리 제품 방향성을 정의하고 제품-설계-사업을 연결합니다.,"Define the direction of next-generation memory products and connect product, design, and business teams.",ok,
job,job.roles.memory-architecture.focus,시장 요구를 제품 전략과 기술 로드맵으로 변환하는 역할,Translate market demand into product strategy and a technology roadmap.,ok,
job,job.roles.memory-architecture.skills,시장 분석|제품 전략|기술 커뮤니케이션|문제 구조화,Market analysis|Product strategy|Technical communication|Problem framing,ok,
job,job.roles.memory-architecture.heroHtml,시장 인사이트를 <br/><strong>차세대 메모리 전략</strong>으로 연결합니다.,Connect market insight to a <br/><strong>next-generation memory strategy</strong>.,ok,
job,job.roles.memory-architecture.overview,메모리 아키텍처 기획자는 고객 요구와 기술 경쟁력을 함께 읽고 제품 방향을 정의합니다.,Memory architecture planners read customer demand and technical differentiation together to shape product direction.,ok,
job,job.roles.memory-architecture.responsibilities,로드맵 우선순위 정리|고객/사업 이슈 분석|설계 조직과 요구사항 정합|출시 전후 포지셔닝 정리,Prioritize roadmap themes|Analyze customer and business issues|Align requirements with design teams|Clarify positioning before and after launch,ok,
job,job.roles.memory-architecture.collaboration,설계·공정·품질 조직과의 정기 리뷰|해외 고객 대응 조직과 협업|브랜드/채용 콘텐츠와 직무 메시지 정렬,"Run recurring reviews with design, process, and quality teams|Partner with global customer-facing teams|Align role messaging with brand content",ok,
job,job.roles.memory-architecture.growth,제품 전체 관점 확장|기술과 사업을 함께 보는 시야 확보|글로벌 이해관계자 커뮤니케이션 역량 강화,Expand end-to-end product perspective|Build judgment across technology and business|Strengthen global stakeholder communication,ok,
job,job.roles.process-integration.family,Process Integration,Process Integration,ok,
job,job.roles.process-integration.title,공정 통합 엔지니어,Process Integration Engineer,ok,
job,job.roles.process-integration.summary,수율과 품질을 동시에 높이기 위해 공정 데이터를 통합적으로 해석합니다.,Interpret process data holistically to improve yield and quality at the same time.,ok,
job,job.roles.process-integration.focus,복잡한 공정 신호를 실행 가능한 개선안으로 바꾸는 역할,Turn complex manufacturing signals into practical improvement plans.,ok,
job,job.roles.process-integration.skills,공정 데이터 해석|문제 해결|실험 설계|협업,Process data analysis|Problem solving|Experiment design|Collaboration,ok,
job,job.roles.process-integration.heroHtml,정밀한 데이터 해석으로 <br/><strong>양산 경쟁력</strong>을 만듭니다.,Build <br/><strong>manufacturing competitiveness</strong> through precise data interpretation.,ok,
job,job.roles.process-integration.overview,공정 통합 엔지니어는 생산 중 발생하는 여러 신호를 하나의 맥락으로 연결해 품질과 수율을 개선합니다.,Process integration engineers connect multiple production signals into one narrative to improve quality and yield.,ok,
job,job.roles.process-integration.responsibilities,이상 신호 모니터링|DOE 설계 및 해석|수율 개선 과제 리딩|유관부서 이슈 핸드오프,Monitor abnormal signals|Design and interpret DOE plans|Lead yield-improvement tasks|Hand off critical issues across teams,ok,
job,job.roles.process-integration.collaboration,공정·장비·품질 팀과 원인 분석|제조 현장과 빠른 피드백 루프|데이터 분석가와 지표 정합,"Work with process, equipment, and quality teams on root-cause analysis|Keep fast feedback loops with manufacturing sites|Align metrics with data analysts",ok,
job,job.roles.process-integration.growth,팩토리 전체 최적화 시야|대규모 문제 해결 경험|고객 품질 관점 이해,Gain a factory-level optimization view|Build experience solving large-scale problems|Deepen customer-quality understanding,ok,
job,job.roles.ai-platform.family,AI Platform,AI Platform,ok,
job,job.roles.ai-platform.title,AI 플랫폼 서비스 기획,AI Platform Service Planning,ok,
job,job.roles.ai-platform.summary,"사내 AI 서비스 경험을 설계하고, 연구·생산 조직의 활용도를 높이는 플랫폼을 만듭니다.",Design internal AI service experiences and improve adoption across research and production teams.,ok,
job,job.roles.ai-platform.focus,사용자 문제를 AI 제품 기능과 운영 지표로 정의하는 역할,Define user problems as AI product capabilities and operating metrics.,ok,
job,job.roles.ai-platform.skills,서비스 기획|사용자 리서치|지표 설계|프로젝트 리딩,Service planning|User research|Metric design|Project leadership,ok,
job,job.roles.ai-platform.heroHtml,현장의 문제를 빠르게 풀어내는 <br/><strong>AI 서비스 경험</strong>을 설계합니다.,Design <br/><strong>AI service experience</strong> that solves real field problems quickly.,ok,
job,job.roles.ai-platform.overview,"AI 플랫폼 서비스 기획자는 현업 문제를 이해하고 제품 기능, 운영 흐름, 확장 전략을 함께 설계합니다.","AI platform service planners understand frontline problems and turn them into product features, operating flows, and scalable strategy.",ok,
job,job.roles.ai-platform.responsibilities,사용자 시나리오 발굴|AI 기능 요구사항 정리|실험 및 지표 설계|우선순위 로드맵 운영,Discover user scenarios|Shape AI feature requirements|Design experiments and metrics|Operate a priority roadmap,ok,
job,job.roles.ai-platform.collaboration,ML 엔지니어·디자이너와 스프린트 운영|현업 조직 인터뷰 진행|보안/인프라 정책 협업,Run sprints with ML engineers and designers|Interview frontline teams|Coordinate with security and infrastructure policy teams,ok,
job,job.roles.ai-platform.growth,AI 제품 운영 감각 강화|복잡한 이해관계자 조율 경험|글로벌 확장 가능한 서비스 설계,Strengthen product-operating instincts for AI|Gain experience aligning complex stakeholders|Design services ready for global expansion,ok,
job,job.interview.eyebrow,Interview,Interview,ok,
job,job.interview.title,직무 인터뷰,Role interviews,ok,
job,job.interview.lead,"실제 구성원이 경험한 협업 방식, 성장 순간, 문제 해결 사례를 담았습니다.","Read how team members collaborate, grow, and solve problems in their own words.",ok,
job,job.interview.detail.quote,Key Quote,Key quote,ok,
job,job.interview.detail.story,인터뷰 스토리,Interview story,ok,
job,job.interview.detail.takeaways,핵심 포인트,Key takeaways,ok,
job,job.interviews.device-lead.title,문제의 본질을 찾는 디바이스 리드의 하루,A day in the life of a device lead who keeps finding the real problem,ok,
job,job.interviews.device-lead.summary,가설을 세우고 데이터를 검증하며 팀의 다음 액션을 정렬하는 과정을 소개합니다.,"This interview shows how hypotheses, data checks, and team alignment come together in practice.",ok,
job,job.interviews.device-lead.person,김소연,Soyeon Kim,ok,
job,job.interviews.device-lead.role,Device Lead,Device Lead,ok,
job,job.interviews.device-lead.quote,좋은 질문이 좋은 수율 개선을 만든다고 믿어요.,I believe good questions lead to better yield improvements.,ok,
job,job.interviews.device-lead.story,문제를 만났을 때 가장 먼저 하는 일은 현상을 분리해서 보는 것입니다.|데이터를 빠르게 정리한 뒤 관련 팀과 가설을 공유하면 실행 속도가 훨씬 빨라집니다.|팀 안에서는 결과보다 학습 속도를 더 중요하게 생각합니다.,"When I face an issue, I start by separating the phenomenon into smaller parts.|Once the data is organized quickly, sharing hypotheses with partner teams speeds up execution dramatically.|Inside the team, we value the speed of learning even more than a single result.",ok,
job,job.interviews.device-lead.takeaways,문제를 작게 나눠 설명하기|실험 결과를 빠르게 공유하기|협업 전제 조건을 먼저 맞추기,Explain the problem in smaller pieces|Share experiment outcomes quickly|Align assumptions before collaboration starts,ok,
job,job.interviews.data-strategist.title,데이터 전략가가 현업과 같은 문장을 쓰기까지,How a data strategist learns to speak the same language as the field,ok,
job,job.interviews.data-strategist.summary,분석 조직이 현장 팀과 공통 언어를 만드는 방식을 전합니다.,This story explains how the analytics team builds a shared language with operating teams.,ok,
job,job.interviews.data-strategist.person,Alex Kim,Alex Kim,ok,
job,job.interviews.data-strategist.role,Data Strategist,Data Strategist,ok,
job,job.interviews.data-strategist.quote,숫자는 사람을 설득하기보다 팀을 같은 방향으로 정렬하게 해줍니다.,Numbers do more than persuade people—they align the team around one direction.,ok,
job,job.interviews.data-strategist.story,처음부터 복잡한 대시보드를 만들기보다 의사결정 순간을 먼저 정의합니다.|현업이 쓰는 용어를 그대로 지표 이름에 반영하면 활용도가 빠르게 올라갑니다.|분석 결과는 보고서보다 다음 행동 제안과 함께 전달되어야 합니다.,"Instead of building a complex dashboard first, we define the decision moment that matters.|When we use the field team's own words in metric names, adoption rises quickly.|Analysis should arrive with a recommended next action, not just a report.",ok,
job,job.interviews.data-strategist.takeaways,의사결정 장면부터 정의하기|현업 용어로 지표 설계하기|분석 결과에 다음 액션 포함하기,Start from the decision moment|Design metrics in the team's language|Pair analysis with the next action,ok,
job,job.interviews.culture-builder.title,One Team 문화를 실제 프로젝트에 녹이는 방법,How One Team shows up in a real project,ok,
job,job.interviews.culture-builder.summary,다양한 직군이 한 프로젝트 안에서 속도와 신뢰를 동시에 높인 경험을 공유합니다.,An employer-brand leader shares how different functions increased both speed and trust on one project.,ok,
job,job.interviews.culture-builder.person,이현우,Hyunwoo Lee,ok,
job,job.interviews.culture-builder.role,Employer Brand Manager,Employer Brand Manager,ok,
job,job.interviews.culture-builder.quote,빠른 실행은 혼자 빨리 가는 것이 아니라 같이 빨라지는 것입니다.,Fast execution is not about one person moving fast—it is about the whole team moving faster together.,ok,
job,job.interviews.culture-builder.story,프로젝트 초기에 역할보다 기대 결과를 먼저 맞추면 갈등이 줄어듭니다.|정기적으로 작은 데모를 열어 서로의 작업 맥락을 공유합니다.|성과를 축하하는 방식도 팀 문화 설계의 일부라고 생각합니다.,"At the start of a project, aligning on outcomes before roles lowers friction.|Regular small demos help everyone share context around their work.|Even the way we celebrate outcomes becomes part of culture design.",ok,
job,job.interviews.culture-builder.takeaways,기대 결과를 먼저 정렬하기|작은 데모 루틴 만들기|성과를 함께 회고하기,Align on outcomes first|Create a small-demo ritual|Review wins together,ok,
culture,culture.working.eyebrow,Culture,Culture,ok,
culture,culture.working.title,일하는 문화,Ways of working,ok,
culture,culture.working.lead,가치 키워드가 슬로건에 머무르지 않도록 실제 협업 방식과 일의 기준으로 연결합니다.,Culture keywords are translated into concrete collaboration habits rather than staying as slogans.,ok,
culture,culture.working.principles.title,우리가 일하는 방식,How we work,ok,
culture,culture.working.principles,문제를 먼저 정의합니다|데이터로 대화합니다|서로의 속도를 높이는 협업을 설계합니다,Define the problem first|Talk with data|Design collaboration that increases each other's speed,ok,
culture,culture.working.note.title,문화는 제도로 완성됩니다,Culture is completed by systems,ok,
culture,culture.working.note.description,"복지, 성장 지원, 업무 방식이 함께 설계되어야 몰입 경험이 유지됩니다.","Benefits, growth support, and ways of working must be designed together to sustain focus and belonging.",ok,
culture,culture.working.note.link,복지 구조 보기,See the benefits structure,ok,
culture,culture.values.bar-raising.title,Bar Raising,Bar Raising,ok,
culture,culture.values.bar-raising.summary,기준을 조금 더 높이는 질문이 팀의 성장을 이끕니다.,"Questions that raise the bar, even a little, keep the team growing.",ok,
culture,culture.values.bar-raising.points,문제 정의의 수준을 높입니다|실행 후 회고로 기준을 갱신합니다|작은 개선도 지속적으로 쌓습니다,Raise the quality of problem definition|Refresh standards through retrospectives|Stack small improvements continuously,ok,
culture,culture.values.data-driven.title,Data Driven,Data Driven,ok,
culture,culture.values.data-driven.summary,직감이 아니라 근거 있는 대화로 의사결정을 정렬합니다.,"Decisions are aligned through evidence-based conversation, not intuition alone.",ok,
culture,culture.values.data-driven.points,공통 지표를 먼저 맞춥니다|실험 결과를 빠르게 공유합니다|지표 뒤의 맥락까지 설명합니다,Agree on shared metrics first|Share experiment results quickly|Explain the context behind the numbers,ok,
culture,culture.values.one-team.title,One Team,One Team,ok,
culture,culture.values.one-team.summary,개별 최적화보다 전체 경험을 더 나은 방향으로 연결합니다.,We connect the whole experience rather than optimizing individual functions in isolation.,ok,
culture,culture.values.one-team.points,역할보다 결과를 먼저 맞춥니다|진행 상황을 투명하게 공유합니다|상호 피드백을 빠르게 주고받습니다,Align on outcomes before roles|Share progress transparently|Exchange feedback quickly,ok,
culture,culture.benefits.eyebrow,Benefits,Benefits,ok,
culture,culture.benefits.title,복지 제도,Benefits,ok,
culture,culture.benefits.lead,"몰입과 회복, 성장, 유연성을 함께 고려한 제도 구성을 제안합니다.","The structure balances focus, recovery, growth, and flexibility.",ok,
culture,culture.benefits.note,"실제 제도는 조직/법인별로 달라질 수 있으며, 본 사이트는 확장 가능한 구조를 보여주기 위한 샘플입니다.",Actual programs may vary by entity or location. This site demonstrates a scalable information structure.,ok,
culture,culture.benefits.groups.growth.title,성장 지원,Growth support,ok,
culture,culture.benefits.groups.growth.summary,학습과 커리어 확장을 장기적으로 돕습니다.,Programs designed to support learning and long-term career expansion.,ok,
culture,culture.benefits.groups.growth.items,직무별 러닝 패스|사내외 컨퍼런스 지원|멘토링/코칭 프로그램,Role-based learning paths|Conference and external learning support|Mentoring and coaching programs,ok,
culture,culture.benefits.groups.wellbeing.title,웰빙,Wellbeing,ok,
culture,culture.benefits.groups.wellbeing.summary,지속 가능한 집중을 위한 회복 제도를 제공합니다.,Recovery programs that help sustain focus over time.,ok,
culture,culture.benefits.groups.wellbeing.items,건강검진 및 상담 지원|리프레시 휴가 제도|심리적 안전을 위한 케어 프로그램,Health checkups and counseling support|Refresh leave programs|Care initiatives for psychological safety,ok,
culture,culture.benefits.groups.flexibility.title,유연한 업무 방식,Flexible ways of working,ok,
culture,culture.benefits.groups.flexibility.summary,팀의 생산성과 삶의 균형을 함께 고려합니다.,Practices that consider team productivity together with life balance.,ok,
culture,culture.benefits.groups.flexibility.items,집중 근무 시간 운영|하이브리드 협업 도구 제공|회의 최소화 가이드,Protected focus hours|Hybrid collaboration tooling|Meeting minimization guidelines,ok,
culture,culture.benefits.groups.support.title,생활 지원,Life support,ok,
culture,culture.benefits.groups.support.summary,업무 외 부담을 낮추는 지원 제도를 준비합니다.,Programs that reduce practical burdens outside daily work.,ok,
culture,culture.benefits.groups.support.items,식사/통근 지원|가족 친화 프로그램|사내 커뮤니티 운영,Meal and commuting support|Family-friendly programs|Internal community operations,ok,
apply,apply.process.eyebrow,Apply,Apply,ok,
apply,apply.process.title,채용 절차,Hiring process,ok,
apply,apply.process.lead,서류전형부터 최종 합격까지의 흐름을 단계형 UI로 구성해 지원자가 전체 여정을 쉽게 이해할 수 있도록 했습니다.,The journey from application review to final offer is shown as a clear step-by-step flow.,ok,
apply,apply.process.steps.step1.stage,STEP 1,STEP 1,ok,
apply,apply.process.steps.step1.title,서류전형,Application review,ok,
apply,apply.process.steps.step1.description,지원서와 경력/포트폴리오를 바탕으로 직무 적합성과 성장 가능성을 함께 검토합니다.,"We review role fit and growth potential together through your resume, experience summary, and portfolio.",ok,
apply,apply.process.steps.step1.note,핵심 경험과 문제 해결 사례를 구체적으로 작성해 주세요.,Show concrete examples of impact and problem solving where possible.,ok,
apply,apply.process.steps.step2.stage,STEP 2,STEP 2,ok,
apply,apply.process.steps.step2.title,SKCT / A!SK,SKCT / A!SK,ok,
apply,apply.process.steps.step2.description,직무 및 조직에 필요한 사고 방식과 역량을 다각도로 확인합니다.,We assess the thinking style and core capabilities needed for the role and organization from multiple angles.,ok,
apply,apply.process.steps.step2.note,안내 메일과 준비 가이드를 사전에 충분히 확인해 주세요.,Please review the preparation guide and schedule details in advance.,ok,
apply,apply.process.steps.step3.stage,STEP 3,STEP 3,ok,
apply,apply.process.steps.step3.title,면접전형,Interviews,ok,
apply,apply.process.steps.step3.description,"직무 전문성, 협업 방식, 조직 적합성을 중심으로 여러 라운드의 대화를 진행합니다.","Several conversations focus on role expertise, collaboration style, and organizational fit.",ok,
apply,apply.process.steps.step3.note,본인의 판단 기준과 협업 경험을 사례로 설명하면 좋습니다.,It helps to explain the judgment behind your decisions and your collaboration examples.,ok,
apply,apply.process.steps.step4.stage,STEP 4,STEP 4,ok,
apply,apply.process.steps.step4.title,최종 합격 및 입사,Final offer and onboarding,ok,
apply,apply.process.steps.step4.description,"처우 안내와 온보딩 일정을 조율하고, 입사 후 초기 적응을 지원합니다.","We align on offer details and onboarding timing, then support your early transition after joining.",ok,
apply,apply.process.steps.step4.note,입사 전 궁금한 제도와 환경은 언제든 문의할 수 있습니다.,You can ask about working environment or programs at any point before joining.,ok,
apply,apply.faq.eyebrow,FAQ,FAQ,ok,
apply,apply.faq.title,자주 묻는 질문,Frequently asked questions,ok,
apply,apply.faq.lead,지원자가 실제로 많이 묻는 질문을 카테고리별 아코디언으로 정리했습니다.,Questions candidates often ask are organized into searchable accordion categories.,ok,
apply,apply.faq.searchLabel,질문 검색,Search questions,ok,
apply,apply.faq.searchPlaceholder,"예: 포트폴리오, 영어, 비자","For example: portfolio, English, visa",ok,
apply,apply.faq.empty,검색 결과가 없습니다. 다른 키워드로 다시 시도해 주세요.,No results matched your search. Please try another keyword.,ok,
apply,apply.faq.categories.application.title,지원 준비,Application prep,ok,
apply,apply.faq.categories.application.resume.question,경력 기술서는 어느 수준까지 작성해야 하나요?,How detailed should my experience summary be?,ok,
apply,apply.faq.categories.application.resume.answer,"프로젝트 목적, 맡은 역할, 사용한 도구, 성과를 한눈에 이해할 수 있도록 요약하면 좋습니다.","It helps to summarize the project goal, your role, the tools you used, and the outcomes in a way that can be understood quickly.",ok,
apply,apply.faq.categories.application.portfolio.question,포트폴리오는 필수인가요?,Is a portfolio required?,ok,
apply,apply.faq.categories.application.portfolio.answer,"직무에 따라 필수는 아니지만, 산출물이나 문제 해결 방식을 보여줄 수 있다면 적극 권장합니다.","It is not mandatory for every role, but it is strongly recommended if you can show outputs or your problem-solving approach.",ok,
apply,apply.faq.categories.application.timeline.question,전형 결과는 언제 확인할 수 있나요?,When will I hear back about each stage?,ok,
apply,apply.faq.categories.application.timeline.answer,"단계별 결과는 안내 일정에 따라 순차적으로 전달되며, 지연 시 별도 고지를 드립니다.","Results are shared according to the timeline announced for each stage, and delays are communicated separately when needed.",ok,
apply,apply.faq.categories.interview.title,면접 진행,Interview logistics,ok,
apply,apply.faq.categories.interview.format.question,면접은 대면인가요 비대면인가요?,Are interviews in person or remote?,ok,
